kai,stn,lat,lon,se,year,mon,day,time,We,Wc,Ta,Tr,Lay,Dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo,Lay,dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo
OSK,KB07,342902,1351018,WT,1986,2,15,9:52,UC,3502,7,1.5,U,2,7.4,8.3,10.5,32.01,0.3,-,-,-,-,-,-,-,-,-,-,B,29.8,7.8,8.1,9.2,32.38,0.7,-,-,-,-,-,-,-,-,-,-
OSK,KB08,342342,1351018,WT,1986,2,15,10:22,UC,2306,8,1.5,U,2,-,-,-,-,1.7,5,2.4,0.42,0.048,-,-,-,-,-,-,B,18.4,-,-,-,-,3,5,1.9,0.32,0.025,-,-,-,-,-,-
OSK,KB09,343642,1350504,WT,1986,2,17,9:08,CL,3502,3,4.5,U,2,7.5,8.3,9.3,31.2,0.3,1,2.2,0.15,0.023,-,-,-,-,-,-,B,27.7,7.5,8.2,9.9,31.42,0.2,2,1.8,0.12,0.022,-,-,-,-,-,-
OSK,KB10,343222,1350504,WT,1986,2,17,10:15,CL,3105,3,1.5,U,2,6.6,8.5,10.6,30.33,0.8,-,-,-,-,-,-,-,-,-,-,B,39.6,7.6,8.2,9.1,31.06,0.1,-,-,-,-,-,-,-,-,-,-
OSK,KB11,342802,1350504,WT,1986,2,17,10:46,CL,3103,4,1.5,U,2,6.9,8.5,10.4,30.26,1.4,4,4,0.45,0.03,-,-,-,-,-,-,B,43.3,8.1,8.2,9.4,31.13,0.7,3,1.4,0.21,0.024,-,-,-,-,-,-
OSK,KB12,342342,1350504,WT,1986,2,19,9:19,CL,3702,8,3.2,U,2,7.6,8.6,9.1,32.16,0.4,-,-,-,-,-,-,-,-,-,-,B,39.5,8.6,-,8.4,32.45,0.7,-,-,-,-,-,-,-,-,-,-
OSK,KB13,341922,1350504,WT,1986,2,19,9:50,CL,3802,8,3.5,U,2,9.2,8.6,8.8,33.55,0.5,2,1.3,0.22,0.037,-,-,-,-,-,-,B,65.5,9.2,-,8.7,33.63,0.7,1,1.2,0.2,0.036,-,-,-,-,-,-
OSK,KB14,342802,1345950,WT,1986,2,17,11:17,CL,3702,4,4.5,U,2,6.9,8.5,10.4,30.26,1.4,-,-,-,-,-,-,-,-,-,-,B,56.2,8.1,8.2,9.3,31.13,0.7,-,-,-,-,-,-,-,-,-,-
OSK,KB15,342342,1345950,WT,1986,2,19,10:54,CL,3702,9,3.5,U,2,-,-,-,-,0.3,1,1.9,0.17,0.032,-,-,-,-,-,-,B,47.9,-,-,-,-,0.2,2,2.6,0.19,0.031,-,-,-,-,-,-
OSK,KB16,341922,1345950,WT,1986,2,19,10:21,CL,3702,9,3,U,2,9.8,8.5,8.6,32.74,0.4,-,-,-,-,-,-,-,-,-,-,B,72.3,10.3,8.5,8.4,32.89,0.5,-,-,-,-,-,-,-,-,-,-
OSK,KB54,344012,1352046,WT,1986,2,15,14:56,CL,3502,7.5,0.6,U,2,7.6,8.3,10.2,32.08,1.3,2,1.3,0.57,0.038,-,-,-,-,-,-,B,13.4,8.1,8.1,8.3,33.7,1.2,2,0.5,0.3,0.026,-,-,-,-,-,-
OSK,KB55,343642,1352046,WT,1986,2,15,14:32,UC,2706,7.5,0.6,U,2,7.8,8.4,11.7,31.42,2.5,-,-,-,-,-,-,-,-,-,-,B,18.4,8.1,8.1,8.7,32.82,3.3,-,-,-,-,-,-,-,-,-,-
OSK,KB56,343222,1352046,WT,1986,2,15,13:03,UC,2706,9,0.5,U,2,7.1,8.4,-,31.01,1.6,9,2.8,0.74,0.051,-,-,-,-,-,-,B,15.9,7.3,8,10,32.3,0.8,3,<0.5,0.2,0.032,-,-,-,-,-,-
